Model,Accuracy (%),Top-5 Accuracy (%),Macro F1 Score,Configuration,Train Time (min)
EfficientNet-B0,97.39,99.85,0.962,"img=224, ep=10, lr=0.001, opt=adam, aug=True",4.5
EfficientNet-B0,97.16,99.69,0.958,"img=224, ep=10, lr=0.001, opt=adamw, aug=True",4.5
EfficientNet-B0,97.08,99.92,0.958,"img=224, ep=5, lr=0.001, opt=adam, aug=True",2.3
EfficientNet-B0,96.93,99.46,0.952,"img=224, ep=10, lr=0.001, opt=adamw, aug=False",4.5
EfficientNet-B0,96.77,99.46,0.953,"img=224, ep=5, lr=0.001, opt=adamw, aug=False",2.3
EfficientNet-B0,96.77,99.54,0.953,"img=224, ep=10, lr=0.001, opt=adam, aug=False",4.4
EfficientNet-B0,96.31,99.54,0.947,"img=224, ep=5, lr=0.001, opt=adam, aug=False",2.2
EfficientNet-B0,96.24,99.54,0.944,"img=224, ep=5, lr=0.001, opt=adamw, aug=True",2.3
EfficientNet-B0,93.86,99.08,0.904,"img=224, ep=10, lr=0.0001, opt=adam, aug=False",4.3
EfficientNet-B0,93.86,99.23,0.899,"img=224, ep=10, lr=0.0001, opt=adamw, aug=False",4.3
EfficientNet-B0,92.7,98.23,0.897,"img=128, ep=10, lr=0.001, opt=adamw, aug=False",2.1
EfficientNet-B0,92.63,98.69,0.893,"img=128, ep=10, lr=0.001, opt=adamw, aug=True",2.1
EfficientNet-B0,92.55,98.23,0.893,"img=128, ep=10, lr=0.001, opt=adam, aug=False",2.1
EfficientNet-B0,92.32,98.0,0.89,"img=128, ep=5, lr=0.001, opt=adamw, aug=True",1.1
EfficientNet-B0,92.32,98.39,0.888,"img=128, ep=10, lr=0.001, opt=adam, aug=True",2.1
EfficientNet-B0,91.94,98.31,0.886,"img=128, ep=5, lr=0.001, opt=adam, aug=True",1.1
EfficientNet-B0,91.94,97.85,0.882,"img=128, ep=5, lr=0.001, opt=adam, aug=False",1.1
EfficientNet-B0,91.94,99.16,0.875,"img=224, ep=10, lr=0.0001, opt=adam, aug=True",4.3
EfficientNet-B0,91.71,98.92,0.867,"img=224, ep=10, lr=0.0001, opt=adamw, aug=True",4.3
EfficientNet-B0,91.63,98.23,0.879,"img=128, ep=5, lr=0.001, opt=adamw, aug=False",1.0
EfficientNet-B0,85.94,97.39,0.776,"img=224, ep=5, lr=0.0001, opt=adam, aug=False",2.3
EfficientNet-B0,85.1,97.16,0.765,"img=224, ep=5, lr=0.0001, opt=adamw, aug=False",2.3
EfficientNet-B0,84.33,96.47,0.76,"img=128, ep=10, lr=0.0001, opt=adamw, aug=False",2.1
