run_key,model,img_size,epochs,lr,optimizer,augment,test_acc_%,top5_acc_%,macro_f1,weighted_f1,macro_precision,macro_recall,train_min
vit_small_img224_ep10_lr0.001_adamw_augFalse,vit_small,224,10,0.001,adamw,False,98.23,99.69,0.974,0.982,0.978,0.971,7.5
vit_small_img224_ep10_lr0.001_adamw_augTrue,vit_small,224,10,0.001,adamw,True,98.0,99.77,0.969,0.98,0.972,0.97,7.6
vit_small_img224_ep10_lr0.001_adam_augTrue,vit_small,224,10,0.001,adam,True,98.0,99.69,0.969,0.98,0.973,0.969,7.5
vit_small_img224_ep10_lr0.001_adam_augFalse,vit_small,224,10,0.001,adam,False,98.0,99.92,0.969,0.98,0.972,0.968,7.5
vit_small_img224_ep10_lr0.0001_adam_augTrue,vit_small,224,10,0.0001,adam,True,98.0,99.92,0.968,0.98,0.974,0.966,7.5
vit_small_img224_ep5_lr0.001_adamw_augTrue,vit_small,224,5,0.001,adamw,True,97.77,99.85,0.966,0.977,0.973,0.965,3.8
vit_small_img224_ep5_lr0.001_adamw_augFalse,vit_small,224,5,0.001,adamw,False,97.7,99.77,0.966,0.977,0.969,0.965,3.8
vit_small_img224_ep10_lr0.0001_adamw_augTrue,vit_small,224,10,0.0001,adamw,True,97.7,99.69,0.964,0.976,0.974,0.961,7.5
vit_small_img224_ep10_lr0.0001_adamw_augFalse,vit_small,224,10,0.0001,adamw,False,97.62,99.46,0.962,0.976,0.969,0.96,7.4
vit_small_img224_ep5_lr0.001_adam_augTrue,vit_small,224,5,0.001,adam,True,97.62,99.85,0.964,0.976,0.967,0.964,3.8
vit_small_img224_ep10_lr0.0001_adam_augFalse,vit_small,224,10,0.0001,adam,False,97.39,99.62,0.958,0.974,0.965,0.958,7.3
efficientnet_b0_img224_ep10_lr0.001_adam_augTrue,efficientnet_b0,224,10,0.001,adam,True,97.39,99.85,0.962,0.974,0.966,0.962,4.5
vit_small_img224_ep5_lr0.001_adam_augFalse,vit_small,224,5,0.001,adam,False,97.31,99.69,0.958,0.973,0.963,0.958,3.7
efficientnet_b0_img224_ep10_lr0.001_adamw_augTrue,efficientnet_b0,224,10,0.001,adamw,True,97.16,99.69,0.958,0.971,0.963,0.958,4.5
efficientnet_b0_img224_ep5_lr0.001_adam_augTrue,efficientnet_b0,224,5,0.001,adam,True,97.08,99.92,0.958,0.97,0.965,0.958,2.3
resnet18_img224_ep5_lr0.001_adamw_augFalse,resnet18,224,5,0.001,adamw,False,97.0,99.77,0.954,0.97,0.961,0.951,1.3
efficientnet_b0_img224_ep10_lr0.001_adamw_augFalse,efficientnet_b0,224,10,0.001,adamw,False,96.93,99.46,0.952,0.969,0.959,0.951,4.5
efficientnet_b0_img224_ep5_lr0.001_adamw_augFalse,efficientnet_b0,224,5,0.001,adamw,False,96.77,99.46,0.953,0.968,0.958,0.953,2.3
efficientnet_b0_img224_ep10_lr0.001_adam_augFalse,efficientnet_b0,224,10,0.001,adam,False,96.77,99.54,0.953,0.967,0.959,0.952,4.4
vit_small_img224_ep10_lr0.001_sgd_augTrue,vit_small,224,10,0.001,sgd,True,96.7,99.69,0.95,0.966,0.961,0.946,7.5
vit_small_img224_ep10_lr0.001_sgd_augFalse,vit_small,224,10,0.001,sgd,False,96.7,99.46,0.943,0.966,0.954,0.941,7.4
resnet18_img224_ep10_lr0.001_adam_augFalse,resnet18,224,10,0.001,adam,False,96.39,99.46,0.946,0.963,0.953,0.945,2.5
vit_small_img224_ep5_lr0.0001_adamw_augFalse,vit_small,224,5,0.0001,adamw,False,96.39,99.39,0.932,0.96,0.948,0.931,3.7
efficientnet_b0_img224_ep5_lr0.001_adam_augFalse,efficientnet_b0,224,5,0.001,adam,False,96.31,99.54,0.947,0.962,0.953,0.947,2.2
resnet18_img224_ep5_lr0.001_adam_augFalse,resnet18,224,5,0.001,adam,False,96.31,99.31,0.947,0.962,0.953,0.945,1.3
resnet18_img224_ep10_lr0.001_adamw_augFalse,resnet18,224,10,0.001,adamw,False,96.24,99.46,0.943,0.962,0.951,0.942,2.6
vit_small_img224_ep5_lr0.0001_adamw_augTrue,vit_small,224,5,0.0001,adamw,True,96.24,99.54,0.934,0.96,0.955,0.931,3.8
efficientnet_b0_img224_ep5_lr0.001_adamw_augTrue,efficientnet_b0,224,5,0.001,adamw,True,96.24,99.54,0.944,0.961,0.951,0.945,2.3
resnet18_img224_ep10_lr0.001_adamw_augTrue,resnet18,224,10,0.001,adamw,True,96.16,99.39,0.944,0.961,0.955,0.941,2.7
resnet18_img224_ep10_lr0.001_adam_augTrue,resnet18,224,10,0.001,adam,True,96.01,99.62,0.943,0.96,0.952,0.942,2.7
resnet18_img224_ep5_lr0.001_adam_augTrue,resnet18,224,5,0.001,adam,True,95.85,99.62,0.939,0.959,0.944,0.94,1.4
vit_small_img224_ep5_lr0.0001_adam_augTrue,vit_small,224,5,0.0001,adam,True,95.78,99.62,0.925,0.954,0.952,0.922,3.7
resnet18_img224_ep5_lr0.001_adamw_augTrue,resnet18,224,5,0.001,adamw,True,95.62,99.54,0.937,0.956,0.94,0.939,1.4
vit_small_img224_ep5_lr0.0001_adam_augFalse,vit_small,224,5,0.0001,adam,False,95.47,99.39,0.922,0.952,0.945,0.92,3.7
resnet18_img224_ep10_lr0.0001_adam_augFalse,resnet18,224,10,0.0001,adam,False,94.09,99.0,0.903,0.938,0.925,0.899,2.6
resnet18_img128_ep5_lr0.001_adam_augFalse,resnet18,128,5,0.001,adam,False,94.09,98.62,0.916,0.94,0.928,0.914,0.7
resnet18_img128_ep10_lr0.001_adam_augFalse,resnet18,128,10,0.001,adam,False,93.86,99.23,0.911,0.938,0.921,0.909,1.4
efficientnet_b0_img224_ep10_lr0.0001_adam_augFalse,efficientnet_b0,224,10,0.0001,adam,False,93.86,99.08,0.904,0.934,0.929,0.899,4.3
efficientnet_b0_img224_ep10_lr0.0001_adamw_augFalse,efficientnet_b0,224,10,0.0001,adamw,False,93.86,99.23,0.899,0.934,0.928,0.895,4.3
resnet18_img128_ep5_lr0.001_adamw_augFalse,resnet18,128,5,0.001,adamw,False,93.47,98.39,0.904,0.934,0.916,0.904,0.7
resnet18_img224_ep10_lr0.0001_adamw_augFalse,resnet18,224,10,0.0001,adamw,False,93.39,98.92,0.893,0.93,0.92,0.89,2.6
resnet18_img128_ep5_lr0.001_adamw_augTrue,resnet18,128,5,0.001,adamw,True,93.32,98.54,0.9,0.931,0.913,0.901,0.7
vit_small_img224_ep5_lr0.001_sgd_augTrue,vit_small,224,5,0.001,sgd,True,93.24,98.85,0.869,0.922,0.894,0.874,3.7
resnet18_img128_ep10_lr0.001_adamw_augTrue,resnet18,128,10,0.001,adamw,True,93.24,98.62,0.906,0.931,0.914,0.905,1.5
resnet18_img128_ep10_lr0.001_adamw_augFalse,resnet18,128,10,0.001,adamw,False,93.16,98.77,0.899,0.929,0.912,0.899,1.4
resnet18_img128_ep10_lr0.001_adam_augTrue,resnet18,128,10,0.001,adam,True,93.09,98.62,0.9,0.928,0.916,0.9,1.4
vit_small_img224_ep5_lr0.001_sgd_augFalse,vit_small,224,5,0.001,sgd,False,93.01,99.23,0.865,0.922,0.895,0.868,3.7
efficientnet_b0_img128_ep10_lr0.001_adamw_augFalse,efficientnet_b0,128,10,0.001,adamw,False,92.7,98.23,0.897,0.926,0.909,0.896,2.1
resnet18_img224_ep10_lr0.0001_adam_augTrue,resnet18,224,10,0.0001,adam,True,92.63,98.77,0.885,0.921,0.921,0.88,2.8
efficientnet_b0_img128_ep10_lr0.001_adamw_augTrue,efficientnet_b0,128,10,0.001,adamw,True,92.63,98.69,0.893,0.925,0.904,0.892,2.1
efficientnet_b0_img128_ep10_lr0.001_adam_augFalse,efficientnet_b0,128,10,0.001,adam,False,92.55,98.23,0.893,0.924,0.901,0.894,2.1
efficientnet_b0_img128_ep10_lr0.001_adam_augTrue,efficientnet_b0,128,10,0.001,adam,True,92.32,98.39,0.888,0.921,0.9,0.888,2.1
efficientnet_b0_img128_ep5_lr0.001_adamw_augTrue,efficientnet_b0,128,5,0.001,adamw,True,92.32,98.0,0.89,0.92,0.906,0.89,1.1
resnet18_img128_ep5_lr0.001_adam_augTrue,resnet18,128,5,0.001,adam,True,92.24,98.85,0.889,0.921,0.899,0.891,0.8
efficientnet_b0_img128_ep5_lr0.001_adam_augFalse,efficientnet_b0,128,5,0.001,adam,False,91.94,97.85,0.882,0.917,0.89,0.883,1.1
efficientnet_b0_img224_ep10_lr0.0001_adam_augTrue,efficientnet_b0,224,10,0.0001,adam,True,91.94,99.16,0.875,0.911,0.906,0.868,4.3
efficientnet_b0_img128_ep5_lr0.001_adam_augTrue,efficientnet_b0,128,5,0.001,adam,True,91.94,98.31,0.886,0.918,0.9,0.883,1.1
resnet18_img224_ep10_lr0.0001_adamw_augTrue,resnet18,224,10,0.0001,adamw,True,91.94,98.69,0.874,0.912,0.921,0.866,2.7
efficientnet_b0_img224_ep10_lr0.0001_adamw_augTrue,efficientnet_b0,224,10,0.0001,adamw,True,91.71,98.92,0.867,0.909,0.902,0.863,4.3
efficientnet_b0_img128_ep5_lr0.001_adamw_augFalse,efficientnet_b0,128,5,0.001,adamw,False,91.63,98.23,0.879,0.915,0.888,0.88,1.0
resnet18_img128_ep10_lr0.0001_adamw_augFalse,resnet18,128,10,0.0001,adamw,False,91.47,97.85,0.871,0.91,0.89,0.869,1.5
resnet18_img128_ep10_lr0.0001_adam_augFalse,resnet18,128,10,0.0001,adam,False,90.63,97.62,0.856,0.9,0.888,0.85,1.4
